"","tracks","track_id","track_pop","artist","artist_full","artist_id","album","album_id","playlist_index","artist_name","artist_pop","artist_followers","genres"
"6098","Monday Loop","1NE3RGTUNgdptVMfKQFoK8",61,"Tomppabeats","Tomppabeats","0Q2Tc5yZFJpumLMc7Yz4e4","Harbor","2p2dzaB6jqlKi4Oj2WlFoN",2,"Tomppabeats",64,197199,"chillhop;japanese chillhop;lo-fi beats"
"6099","I Just Wanna Marry A Mermaid","6vfx7pIBKqs2EsJoTLPEWO",31,"Orca Vibes","Orca Vibes","5Uh59QapXCVX8TWwsDJo5N","2017","1MllGGdwjHKUM4Q1ajNEkh",2,"Orca Vibes",38,3650,"lo-fi beats"
"6100","Dream Sequence","0DqcJRrYRWrMLQXWSD1zj9",55,"Kendall Miles","Kendall Miles feat. I Eat Plants for a Living","4Z5eM7HLu4b0LAKrywoWR2","Dream Sequence","5nYHmDf8MYtSe21nf1RqkN",2,"Kendall Miles",57,13468,"chillhop;lo-fi beats"
"6101","But I Still Get Social Anxiety Attacks","1sPnDyKnKJ31CxJvLAAVTg",26,"Imfinenow","Imfinenow","4VegDdugwCSdbyoHdObFEy","Strange Life","06WXowUnPxnbOVHvUY3pxt",2,"Imfinenow",48,3509,"lo-fi chill"
"6102","feelings","1jmZuINbjNHWwbCALBtEHe",31,"vowl.","vowl. feat. prxz feat. Mishaal","5Q0sv5SeMZln6szEW49dHL","feelings","0gq0EvdLjJxTlMv8nUsWW5",2,"vowl.",50,12811,"traprun;vapor twitch;wave"
"6103","you taught me how to feel again...","1uShr04XywqQrYFGljDFs5",34,"ssen.","ssen.","3C31Ok2TjRKTAR4lquWkj8","you taught me how to feel again...","0q9iTF2Ddc8TuhujAQkAcY",2,"ssen.",22,196,""
"6104","close your eyes","5d2J5sO735rKLEW4bkGugK",0,"amies","amies","2zNmlxTlRfyMAAifd2f71Q","close your eyes","5tVtlDrpkMnW1H3f5RzKoW",2,"amies",58,993,"lo-fi beats"
"6105","hammock","1PdJvxvhuImI0dpuWoPwWe",51,"mommy","mommy","0DJoMHFNyxWdoGqi8XMdfk","hometown","1algiZiHrfsA4siGIdUZRq",2,"mommy",64,14370,"chillhop;lo-fi beats"
"6106","what if we just sat together and did nothing?","2ZtuRbN0UQCevEWS4URHLS",32,"Elijah Who","Elijah Who","2b0aKuno01NxPWVCUVIEc8","a cute day","2XLIWpt6If1hHTo5bJaU8N",2,"Elijah Who",65,138624,"lo-fi beats"
"6107","Urban Garden","1hTqs64ZanU4xoiDpmb0ER",31,"biosphere","biosphere feat. Rook1e","6sa0lNcq7YdXNnQKZHFb0D","Dystopian Tea","2QqdgDwmvHDj0wLqDBMIo3",2,"biosphere",59,40588,"lo-fi beats"
"6108","The Girl Next Door","41hXE5S8D4mRfcdqSMpmAC",51,"Tomppabeats","Tomppabeats","0Q2Tc5yZFJpumLMc7Yz4e4","Harbor","217LLrb47lzGE3HANjBLnn",2,"Tomppabeats",64,197199,"chillhop;japanese chillhop;lo-fi beats"
"6109","When You Think About Her and Your Brain Says No Don't Do That","6NxTzPkAVrLOZXh6KV6x8T",37,"In Love With a Ghost","In Love With a Ghost","21tDFddcOFDYmiobTcls2O","Discography 2015-2016","3pd7Ptw71K7NVIqQOU6KAC",2,"In Love With a Ghost",63,218396,"kawaii future bass;lo-fi beats"
"6110","Hanging Lanterns","7JJioso8L2geuDnkJyF0jD",56,"Kalaido","Kalaido","5LXHT7v9uYGrsyEnL9q9K8","Moonlit Tales","4GSQslM3wqjh4L64q4lkFx",2,"Kalaido",53,6580,"japanese chillhop;lo-fi beats"
"6111","Disguise","5l97hjtq0Du1uLScUL8A0A",41,"Fudasca","Fudasca feat. Mishaal feat. Joshua Malilay","3gVs02kUSkMOkErgzttj7T","Disguise","6uGgpHcT9HQBqBt6DVvDwU",2,"Fudasca",56,11490,"emo rap;sad rap"
"6112","When the Sun Sets.","0KWs6wiK3CsMLRlJ7Rz5XT",33,"Varden","Varden","6UXgKlNJ6VNzdch83l6tzl","When the Sun Sets.","2BSbRCNJPXpoFfIOn0nwfw",2,"Varden",22,157,""
"6113","outset","6ZpPt8jptwLcWmEmqQ95OO",35,"Elijah Lee","Elijah Lee feat. frad","2ZVKeej6s975bMSdzxjIhu","January","4lu9rOm32Ieevp1INYmzNQ",2,"Elijah Lee",49,1242,""
