"","tracks","track_id","track_pop","artist","artist_full","artist_id","album","album_id","playlist_index","artist_name","artist_pop","artist_followers","genres"
"1949","Parachute","07uAtvPO3B4Yvsrbyyg6qe",28,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Parachute","7tlCKiIvjyXvp8HIIbis2J",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1950","Demons","0f9QM7bpUWZCgvpECFsuaK",33,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Goldfly","0eQ7WzPhJowFo6ch2VJnhj",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1951","Barrel Of A Gun","1M8wbxGt72j4nyD118oMuQ",37,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Lost And Gone Forever","0IbyzNtPkB8p7uKmvyrC63",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1952","Look Alive","7E69QVVHN3wXMFgqXX8JSG",0,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Look Alive / Hard Times / Don't Go","5VwyNeQOJpOK2KQuUk3vfq",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1953","Hard Times","3ZpvTsq2rr5XwOGs4ulOMA",0,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Hard Times / Don't Go","4MhSsWtD9oNoYDXOGxi0lA",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1954","Two Points For Honesty","5rlxS5S5X2ZSSZPchtiPAa",33,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Lost And Gone Forever","0IbyzNtPkB8p7uKmvyrC63",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1955","This Could All Be Yours","3qB2kPM8M2wA1PTSWAP1gQ",21,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Easy Wonderful","3eJrevKI2ZAbycDM6s9KCZ",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1956","Jesus On The Radio","6cYSxuKrQrOWIViPoe0mQL",16,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Keep It Together (10 Year Anniversary Edition)","7KC1w0WMGMonA9kxQtXkn0",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1957","Either Way","0O8cueKFIEUNahasA9CmI1",32,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Lost And Gone Forever","0IbyzNtPkB8p7uKmvyrC63",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1958","Ramona","4cAVMCLsbr3OebuuvGKVZA",32,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Keep It Together","5lbGZmn8qEngPkWVfPQswj",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1959","Terrified","3uBzRNwmiatq5bgNasNjQH",25,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Look Alive","4VD5MgL4gjcUumfSpjvlBf",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1960","One Man Wrecking Machine","0YhEJmOYZoRdKNPbCvHs8R",42,"Guster","Guster","34XlPCFfB4vT7P1ekWq9Jc","Ganging Up On The Sun","0QA8bVnLCxOpCYMhIdT6rz",31,"Guster",53,126897,"boston rock;modern rock;neo mellow;pop rock"
"1961","chilling by your bedside.","7LKRv9zrKDrLOO8jcFPQxA",47,"beeno","beeno","0fbM0EawHro8s9Aee7TDeo","decades.","5PbvbQUEdxOhehgtq63wJ9",32,"beeno",39,233,""
"1962","First Sip of Coffee","2qnxhWmaZhgckkAwRDKxUm",64,"Jobii","Jobii","2MGL4XU2LCJC47c7VvSwuE","Vortex","0016aXt2kXeqd6f1RArmcY",32,"Jobii",64,6484,"chill out;lo-fi beats"
"1963","I Thought it would be Different this Time","7w6gEfTguVjuys3WjRCXMI",53,"Fdluxx","Fdluxx","4J6llszQj5aasQouHnuC1k","I Thought it would be Different this Time","1KwjgLqNgs55kGJ5VIXNFI",32,"Fdluxx",42,449,""
"1964","sabor","2FzrLNeaAsZhviPAsVKyy6",1,"Joe Nora","Joe Nora","2ShIqcIbteAk5jwdZzF2NZ","sabor","7722Ug5Qu9wTEgVu2x2KWX",32,"Joe Nora",55,1366,"lo-fi beats"
"1965","Calicall","7s7cgU5RJ3vhWp1ZYRr8UR",57,"Monkey Larsson","Monkey Larsson","1NNMXNmMeMap4smySFZTLk","Calicall","7f0iQN9EVtjX2qzBTJM0lO",32,"Monkey Larsson",45,31,"chill out"
"1966","Bubbly","6doZtFC88RKfW3XmSHuVcy",57,"Altroid","Altroid","5AOCKjDVpKM0luSVpAypCd","Bubbly","4kibqj4fz2y4NYi07dNVio",32,"Altroid",45,15,""
"1967","Morgana","3DYyHUe3wG4F1ahZf2XLCm",41,"En Rie","En Rie feat. Lobi9","3P18mn1T53JU82867PDYbM","Mediado","5VDUfxSdbWaCOcrq0eFGMS",32,"En Rie",48,113,""
"1968","another log on the fire","1sdc8wT8gqb6wwyQZnNxuw",52,"s. lyre","s. lyre","0Ic21br4X3YoE8wZgwTK0f","if I lived in a cabin","08AHKguznj4O7XLVdac08B",32,"s. lyre",49,2833,""
"1969","Magic Ears","01zns8ZvqSLL3gDvDiagZD",59,"Tissi","Tissi","0CclfuKlauSteXglcwfyE6","Blueland","5wrD53vmzE4Np6UCTgBybm",32,"Tissi",47,7,""
"1970","Alignment","459tqykAvuDfgPrWT1XsLn",42,"Guustavv","Guustavv","4ztOXfl03SlHkzRIsrvWmX","Sova","4m2xqgJlpPXgWwaz9NNBRY",32,"Guustavv",64,7633,"chill out;lo-fi beats"
"1971","Yawn Machine","3wXAeVIUbRF9pReSBdgpkE",58,"Guustavv","Guustavv","4ztOXfl03SlHkzRIsrvWmX","Sova","4m2xqgJlpPXgWwaz9NNBRY",32,"Guustavv",64,7633,"chill out;lo-fi beats"
"1972","Vortex","2tHlKLiHseJT0QraU5oIJm",39,"Jobii","Jobii","2MGL4XU2LCJC47c7VvSwuE","Vortex","0016aXt2kXeqd6f1RArmcY",32,"Jobii",64,6484,"chill out;lo-fi beats"
"1973","Lunar Lullaby (mr_slace Remix)","3wsc7ZbIdpLrGiY62Kpvs7",55,"Voyager","Voyager feat. mr_slace","4nvRxWe5SwOuTDQZ500nzo","Lunar Lullaby (mr_slace Remix)","3l7unGPT6PYXB0mbjf7g0C",32,"Voyager",57,4146,"atmosphere;background music;chill out;focus"
"1974","Golden Hours","6pFCWGvher1KJdEEsj55dn",61,"Justnormal","Justnormal","2YCz7aHoRoAZ435UDLOKOs","Autumn Here","2Ea5pKp1ORP8nXaOk85WHP",32,"Justnormal",60,2767,"lo-fi beats"
"1975","infamous","1zeLmqomXHdmGfdjFlv9Ge",59,"strøget","strøget","7JtjqVMOUr4hbaYRVQevHq","infamous","5jSgMwLaRJgBAd9seXFkLc",32,"strøget",47,214,"lo-fi beats"
"1976","Green","5GN4NROaYPF3B9nctQiqlq",60,"Mun$","Mun$","3q5IPAzYcyOyLEZecYKILg","Green","242fjU9JtLbq3xG7F9jONX",32,"Mun$",48,134,""
"1977","Drivin'","1vVTu19OQswz8NgAyjSUWW",45,"Ensidya","Ensidya feat. Fractite","2lenoWzSFNMSFJU05uqIrj","Aglow","4ScyYbyvu8DovuI7QQxUBz",32,"Ensidya",52,1417,"chill beats"
"1978","Early Bird","5hDNc9kEQx7sFHM1dPSvaw",42,"Ariel T","Ariel T","1jV6ZVJ5WPoWiYZfOolQV6","Early Bird","5js2famMBIIGyG65mlKIPA",32,"Ariel T",55,1441,"chill out;lo-fi beats"
"1979","Supercalifragilistic","4GJSBizltiVQLwPwI3Q0CP",53,"Dubtrack","Dubtrack","7649N0LXjp4mVaHfuLqcGo","Supercalifragilistic","5ShNcVs7JPP5z9PbJRFrcm",32,"Dubtrack",41,148,"lo-fi beats"
"1980","centipede","738BMGL6ZJD8e9Xv4H6Kk2",54,"Aphisto","Aphisto","0pUfr657WE2XCR4y5SNUgR","centipede","2vYuWpOTP6RH1i6CWMPqgQ",32,"Aphisto",42,132,"lo-fi beats"
"1981","ballpoint","1NcRGYcwoBKGTYbqdpTB1O",54,"vibe academy","vibe academy","1QIlKfgGmOpQRigjy2CyPN","cayenne","73ukbC0D0nA4DllTTyCwQp",32,"vibe academy",48,14,""
"1982","Marble Valley","0NzG4Rm5JavcrituQfn41A",54,"Justnormal","Justnormal","2YCz7aHoRoAZ435UDLOKOs","Autumn Here","2Ea5pKp1ORP8nXaOk85WHP",32,"Justnormal",60,2767,"lo-fi beats"
"1983","Feet (Instrumental Version)","49APquqrWQWeN3xuZcu6wZ",34,"Pandaraps","Pandaraps","62vq9yQAS5AoJMOZ95Gwpc","Feet","3Y2FJWQugHBzKXBGBNtlYh",32,"Pandaraps",40,1640,""
"1984","Outskirts","3F5W1FTIeXerLXP1meorP5",39,"[ocean jams]","[ocean jams]","3dHotvHEwOdiVKy5X6Gw9B","Wastelands","6xaljlJUGp13Qd06F3tFxa",32,"[ocean jams]",58,9406,"chill out;chillhop;lo-fi beats"
"1985","Thoughts of the Past","0z1V7jVcC0Z9F1OEdnkVzM",35,"Guustavv","Guustavv","4ztOXfl03SlHkzRIsrvWmX","Rusk","3695bTYjA4aLTk6iBgUEqg",32,"Guustavv",64,7633,"chill out;lo-fi beats"
"1986","Color Code","2hPUPT84eEvIxxDvdN0n0R",54,"DJ ZeeZee","DJ ZeeZee","6vjAwcOZNHp71G8mYs2yUg","Color Code","6vVBfItLBRgeK0pRTjXgkY",32,"DJ ZeeZee",43,382,""
"1987","Horologist","2V8SJbDW6sK8FrHlvCdG8Y",41,"Osoku","Osoku","7tGFPYtcRKqkiEYu9ryCcl","Tinkering","5PS8X5reGbGvAicpimMo6P",32,"Osoku",50,2029,""
"1988","Last Light in August","4ZEN3u4mTt8gxIEPAH9bXG",36,"Chaxti","Chaxti","12Ip37wPd8ddVsBrrbcFZH","Nothing Is Left Behind","6vjfkqx5G2cK8C0ehU5mcH",32,"Chaxti",48,500,"background music;chill out"
"1989","Dark Life","6gMynMmqbNqhSTO70z3Pup",58,"Justin Element","Justin Element","64F6z53BPVKp3KOs3Mn9dg","Mirrors","56TxUdsV2C0tU0rE0NL897",32,"Justin Element",46,5,""
"1990","Front Yard","5pnzYHKE5QLnU9RbNpIZBN",51,"Trixie Muff","Trixie Muff","4ot82BIcenSoR26rIlbvDd","Front Yard","0dIabfj4dsQHImQmsZ4pky",32,"Trixie Muff",39,4,""
"1991","Midnight Somewhere","02312lZUztXbBFDXhzJbK1",55,"Guustavv","Guustavv","4ztOXfl03SlHkzRIsrvWmX","Evig","1AXK3RaBFKu5LyX0e092sB",32,"Guustavv",64,7633,"chill out;lo-fi beats"
"1992","Mirrors","4wcJ2VIMNzianhgaSTPXFa",40,"Justin Element","Justin Element","64F6z53BPVKp3KOs3Mn9dg","Mirrors","56TxUdsV2C0tU0rE0NL897",32,"Justin Element",46,5,""
"1993","Over You","1CD4sl6Mb1x5ocbZMHPCVd",48,"Grey Stylez","Grey Stylez","3tap6ymRzGK3yyYRn9DZUO","Over You","07CQ8jv9Qsj0jfardA4IPi",32,"Grey Stylez",36,3,""
"1994","sea foam","2NDAE4SuAs9GJnaLnLfMm7",54,"sound butler","sound butler","6aSAkIrQshhK1BKhiPxh0O","sea foam","3N8nceU4xeqqsqIe90KS1X",32,"sound butler",48,12,""
"1995","Sim Sim","1UWnFXJLXVHPJEx5NcZplD",39,"Carl Down","Carl Down","3SUWaiyM09qqsnBkfm6lPv","Perfection","6DO8231AhivEuWarU7JeJz",32,"Carl Down",48,14,""
"1996","Sxs13","73Oxy2zrZMTFgFARikF4UA",57,"BXT Aer","BXT Aer","4Ih0m8L9Xc3fksQjlZHiWk","Beauty","28B4EwvzIlTy1gT9UlavVa",32,"BXT Aer",44,3,""
"1997","the village","3sHl6w5wL2D2XxQdAWiz5i",55,"really big mountains","really big mountains","4yJevCr3DRO4fW0NG2rjt4","sonder","0OESQqApCnyYPj49o5S0jY",32,"really big mountains",47,19,""
"1998","Hibiscus","21fMk9JpWGsvnPMlTPQE3Q",38,"[ocean jams]","[ocean jams]","3dHotvHEwOdiVKy5X6Gw9B","Wastelands","6xaljlJUGp13Qd06F3tFxa",32,"[ocean jams]",58,9406,"chill out;chillhop;lo-fi beats"
"1999","Calming Nerves","0QfTKDSbt04Jw0D6Hi8Jmc",42,"Guustavv","Guustavv","4ztOXfl03SlHkzRIsrvWmX","Rusk","3695bTYjA4aLTk6iBgUEqg",32,"Guustavv",64,7633,"chill out;lo-fi beats"
"2000","Eighties Kid","272GDFpi4jtQtdu0ceN1V3",34,"Chaxti","Chaxti","12Ip37wPd8ddVsBrrbcFZH","Eighties Kid","3ix7gDtnXELhNLz1bDFGoj",32,"Chaxti",48,500,"background music;chill out"
"2001","Azurite","4MQNfN5ZBezTVLDr8Y6o1m",40,"Sarah, the Illstrumentalist","Sarah, the Illstrumentalist","4D8x1OO5HeS7yQaSoSbAc6","Pocket Full of Crystals: Vol 2","3M4IpXtpK6UmwcVm2IU1Vh",32,"Sarah, the Illstrumentalist",59,11686,"lo-fi beats"
"2002","Futon","2EzWfOtHUIRdYf8MXSRGYY",39,"Osoku","Osoku","7tGFPYtcRKqkiEYu9ryCcl","Tinkering","5PS8X5reGbGvAicpimMo6P",32,"Osoku",50,2029,""
"2003","Boarded","3TYZ8OUPMZ0O6AiMRmv5lP",58,"Sidual.","Sidual.","5ghUUQxtMMankpzWRxckkI","Boarded","0971OYZtfCZfegzT2TDmqh",32,"Sidual.",49,318,"lo-fi beats"
"2004","Kudzu","6uxwu2NvZqotOcFAWtRMYR",41,"Osoku","Osoku","7tGFPYtcRKqkiEYu9ryCcl","Tinkering","5PS8X5reGbGvAicpimMo6P",32,"Osoku",50,2029,""
"2005","Night Train","37WThuwPuTsonUbRbeGZXz",37,"Koralle","Koralle","3OW3qK7Wl9ESAGLvjVOw2h","Night Train","6Dthi2sT9U6TU2OAqchBKE",32,"Koralle",50,1740,"italian jazz fusion"
"2006","Stars","1KL0VpiEiUxYMstxnFYxpo",38,"Bluedoom","Bluedoom feat. Santana Cid","1gFvHTW6FSJiw4FQ355I4K","Eduard","0FZ3Rpe4NgpFfcJ0bQskFG",32,"Bluedoom",52,2501,"lo-fi beats"
"2007","Velvet Dreams","2jMe1swRC9HZ5Mfh2Ikjk2",33,"Slowheal","Slowheal","6XfzIkZ3Qel4Lvhba67CqC","Velvet Dreams","2P6yWfu1OYc8ONZrOULnTc",32,"Slowheal",53,3272,"lo-fi beats"
"2008","R'n'B aus Lankwitz","0lJTUdfqFhOK9sK3Jgr4EQ",32,"Nobodys Face","Nobodys Face feat. Torky Tork","2cP7dnZQqfYPoMMdmYQyJl","R'n'B aus Lankwitz","4vWuazEEZKGl7vA1WrxPqG",32,"Nobodys Face",40,2372,"indie deutschrap"
"2009","Vertigo","41OWVjSagjdgNlfqN9sIBk",39,"Smoke Trees","Smoke Trees","6cN5TvotJoRbhYHoCHw8BI","Vertigo","440nQG2Am88gXSzKn4XZYP",32,"Smoke Trees",58,19186,"chillhop;jazz boom bap;lo-fi beats"
"2010","second hand","7HaIKsqAyhsmZGjifsMUnH",32,"Fona","Fona feat. Styn","1Z9Kmnj7PimziF4URnIzL2","second hand","6cCTyg8MF9oUZC7KQWlAEh",32,"Fona",56,501,"lo-fi beats"
"2011","bloom","7HVuJ5lEaDHiIVRP6loN1z",39,"Lunchmoney","Lunchmoney","7JD72qpbmGSp9M0uCLOa3D","bloom","7MHwRV8Bw8rweg4ggLKTgx",32,"Lunchmoney",57,2382,"lo-fi beats"
"2012","Lilac","0Ymu1QBwxsXpwsLdxWBRtA",1,"G Mills","G Mills","0djvqMepj2XkHfvWTqkH1N","Lilac","4lqw1wICfF7tNfVjj3TPgX",32,"G Mills",65,4372,"lo-fi beats"
"2013","cayenne","2w2rCYdC0WmoXLkysXcYzG",57,"vibe academy","vibe academy","1QIlKfgGmOpQRigjy2CyPN","cayenne","73ukbC0D0nA4DllTTyCwQp",32,"vibe academy",48,14,""
"2014","Smile","6tasSPWYNDFQKTvI261tXO",39,"Ymori","Ymori","4Yccu9UQwMSEegvhhS6tRK","Smile","5nMi36NSLIk5Wc2UH6IDt1",32,"Ymori",53,1117,"lo-fi beats"
"2015","Street Culture","4jkfRe1Fh9l3UIrDJl75CE",40,"C4C","C4C feat. Kirikoukiri","5jZeLexrrwGNUy6nv7tzdr","Street Culture","7ngRzZHytAJbxIU8gCbALP",32,"C4C",63,4356,"chillhop;lo-fi beats"
"2016","picture this","6BKIX2V8lvpMGA5nwkYula",41,"pettersson","pettersson","72Q5cOChL72xjupeqzKlWd","not enough","0ta1U7IMH3GVWkX0Vm4GM6",32,"pettersson",44,734,""
"2017","CrO2","1safGkgdw1Grocn4MdwPFl",39,"Kaizen 92","Kaizen 92","4b3rKm8D3J3HWUggopMju9","Hypnotized","14sSxGjEEXKztcBVI3Y0Nc",32,"Kaizen 92",44,715,""
"2018","Autumn Chills","1QeNanRwlzQT8gQ2RDsSqP",40,"Shuko","Shuko feat. Hubert Daviz","1mOiWC7OH9ANUtt3vd0A10","Autumn Chills","6YwhevuTpiBj2f4ABjntyF",32,"Shuko",53,6370,"chillhop"
"2019","silent view","2mhvKaoxOgjxWFtSH235d4",38,"digitalluc","digitalluc","4WT5TNNUvgRLjAiWce3K5z","silent view","6QUXbW2GtefD4XcAKlL7Fm",32,"digitalluc",53,6964,"chillhop;jazz boom bap;lo-fi beats"
"2020","By","5C4sp6JprCFTO9ZQcg4qXs",56,"HNNY","HNNY","6Yae9Ia1nq6JLLojBzwN1r","Hosoi","7zhdVONU5HcwpbmC7XtXsn",32,"HNNY",63,78808,"deep house;electronica;float house;indie jazz;indie soul;soul;swedish electronic;swedish house;swedish synthpop"
"2021","sundown","15LqhqSSDfZmIylBdlxxVK",0,"mt. fujitive","mt. fujitive","2V9zpugQCHRiu2lPjsUM6d","sundown / whisper","4rrjKhuPxr11fsXNkmJIr7",32,"mt. fujitive",57,32529,"chillhop;lo-fi beats"
"2022","Tiny Sailboat","3bPsHHJ6EL2xZSflLsIve3",9,"Kupla","Kupla","7daSp9zXk1dmqNxwKFkL35","Coniferous","2dPa5nSDfNDStYSYJBc6sU",32,"Kupla",74,41589,"lo-fi beats"
"2023","A dream of you","4TPXDaMM1NOGPky69fpAZI",38,"Fletcher Reed","Fletcher Reed feat. elro feat. Pueblo Vista","2sQKM93VxtEcafQ1f1ukgl","A dream of you","5v7Ta8tKyKcijdV67CasLD",32,"Fletcher Reed",40,1576,"chillhop;focus beats"
"2024","Cloudy Morning, Train Rolling Thru","3LKdYSdkfrBrMmkvytdbff",32,"Arbour","Arbour","3pSfwb3p6BVPTYDkNdgxS2","Cloudy Morning, Train Rolling Thru","7bXfSfCa8XXm1aFCQ7DIG9",32,"Arbour",62,14902,"chillhop;lo-fi beats"
"2025","Float","6hq28xwdrA3I17f5fvZme3",40,"Casiio","Casiio feat. Sleepermane","5zUSfxfP1NETZiaWt0Ui0a","Float","3caFrmAvFsvsRVl9kR66ZB",32,"Casiio",70,4130,"lo-fi beats"
"2026","Cypress","3oQPMwQ6eoAdfYmLSV54DW",5,"Middle School","Middle School feat. Aso","6AjXxPL8C44rc1yJdi6RZB","Chillhop Essentials Fall 2019","5rkRqokaqegqzawViUDpQT",32,"Middle School",60,6975,"chillhop"
"2027","Strangers","4t4vsSlv2qrcRjXmAYDBtl",39,"TABAL","TABAL feat. DLJ","3xGCm4ewXGKJFwrrwummsJ","Strangers","2H0QPMBSojuqH0yPnukxWK",32,"TABAL",63,1571,"lo-fi beats"
"2028","not titled","1Cn8yefg7GYDhxNtPz4SL9",38,"Ameba","Ameba","0YYVUJe2T4XdBza6Y0RA8P","not titled","3VXjlCH0L0DewCS8XoKDGx",32,"Ameba",54,4199,"chillhop;lo-fi beats"
"2029","Ripples","5hAsQYELqbLn8a2gQWQKGf",42,"leaf beach","leaf beach feat. Dr. Dundiff feat. Soul Food Horns","5fQYCNYjrT9c4ZssNrC0gh","Ripples","3lCxQ2Hd0gjVPnxgcK99Dz",32,"leaf beach",52,8249,"chillhop;jazz boom bap;lo-fi beats"
"2030","Prickly Pear","29ZE7tvn32CJskQ5QS8BKw",40,"Fona","Fona feat. Bertholet","1Z9Kmnj7PimziF4URnIzL2","Cactus Files","6LFKdb0RZhEl3GvVLvITuc",32,"Fona",56,501,"lo-fi beats"
"2031","City Dweller","3RVUZs6UNdOIDCLmTG98uN",32,"Styn","Styn feat. Cantsleep feat. .Sinh","0vTPGCQGp2pkRUCXF8gEXd","City Dweller","6lDjGNsHI7P3S3qKhWTIHf",32,"Styn",58,1960,"belgian rock;lo-fi beats"
"2032","Sun-Drenched","7siKUHMu8JmhDvZLInuDMd",39,"Sleepermane","Sleepermane","4gGsx7blPpBj7gKGmDBEfI","Sun-Drenched","41DGf5KFsNow1BNG5CBjlb",32,"Sleepermane",70,1997,"lo-fi beats"
"2033","Meadows","4fyJ21APjjRJokxeMcTXGy",42,"Slowheal","Slowheal","6XfzIkZ3Qel4Lvhba67CqC","Meadows","15YH9InXTFp32OwPGHDmWT",32,"Slowheal",53,3272,"lo-fi beats"
"2034","Thinking Place","40xZF1O9o6VlU6GampmJk5",33,"Omaure","Omaure feat. Koisu","7jzNtnTGzuVQ8yVDTfHa4G","Melt","5wXtuUb2fMHyeq17retnt8",32,"Omaure",51,6244,"chillhop;lo-fi beats"
"2035","Rainforest","086QQrq148XbaGFlRsglTG",3,"Saib","Saib","6N4HlHINMvoTyAL0yhBUCk","Mangroves","4nGGg90up0lmPiP3QetTW8",32,"Saib",68,89031,"chillhop;japanese chillhop;lo-fi beats"
"2036","Late Night Coffee","11vBveyoAiyildqHRlLcyj",33,"Beaumont","Beaumont","50hbsxvYzqYMuR8JsZDOEK","I Dare U","5aHEHCP4LFXDfcA71JkI7g",32,"Beaumont",48,627,""
"2037","No Shadow Walk","5oSf7bIRQ8Ixe5u0RMo3Ef",47,"Palomo Wendel","Palomo Wendel","34tfEi7xK2JuYIgSNZ9Mq1","Morning Glow","5zH6qSkGxahgySynLjyhKd",32,"Palomo Wendel",37,594,""
"2038","Never Know","4yevE0rcL8r0lDiplK8NQx",31,"autumn keys","autumn keys feat. Chirashe","1S7PwtEKL0mdNtfgGJtINy","Never Know","0RM08Basd4iKioOD5Ed0Q8",32,"autumn keys",50,7841,"future bass"
"2039","lapse","4nDnsTDYohXnLc5lyzs9d7",39,"Lunchmoney","Lunchmoney","7JD72qpbmGSp9M0uCLOa3D","lapse","2q1svW4wgFpe0SfrfQEmwX",32,"Lunchmoney",57,2382,"lo-fi beats"
"2040","Hope","4n6JQTNqJOuvQLys4l11ov",1,"Ajmw","Ajmw feat. Arbour","64StAk1W7veJKQ9x0rlE2R","Eternal","3rsR5odp7XMk9yetDLY9xT",32,"Ajmw",62,9174,"chillhop;lo-fi beats"
"2041","Eternity","56zjVXhJBzvpNc1FlLt429",39,".Sinh",".Sinh feat. Cantsleep","0qRgQLC8mPlcJ5Zo6mlcuG","Eternity","1TEEcBewinIGXLTGLz5a2a",32,".Sinh",55,5116,"chillhop;lo-fi beats"
"2042","Sapasui","2N46B0w1gLLWH5iGtAMfsy",38,"Sling Dilly","Sling Dilly feat. Casiio","6dY8i34qqvAmPgYeOzHTO9","Sapasui","3reBrv0dv1YDuB2Fvh7hus",32,"Sling Dilly",55,359,""
"2043","Smoke","75p1RJeNnhInQnF36mekjx",0,"mndbd","mndbd","2mqFsaoDarpyIIRowWT3Ci","Lost & Found","1yr8TaQir4n7kgbDe7tV5X",32,"mndbd",41,4851,"chillhop;lo-fi beats;phonk"
"2044","ephemeral","7cR6m3PDXpE3x6UfXhuLkK",46,"ENRA","ENRA","1jDbZQQs4VNtiC4AerpIg4","ephemeral","1Mw0bmt8iSZuWb626G7JkB",32,"ENRA",67,2768,"lo-fi beats"
"2045","Fly Shit (Forever Nip)","6wQNxrwIgyZfaWQC0lfdSj",32,"Brenk Sinatra","Brenk Sinatra","2ZoufZYy2FcQQSBZbkO6Bb","Fly Shit (Forever Nip)","6se9bIOk9K0QZXiSaP9USV",32,"Brenk Sinatra",43,8888,"abstract beats;indie deutschrap;jazz boom bap"
"2046","Bake Sale","3cbDRFmYq7piqLm1Y0dO00",31,"Submerse","Submerse","6iNVICWoG8BfqoyejEQdpF","Bake Sale","1B2nyRMWtGvtaBmmqlqSbo",32,"Submerse",38,13726,"bass music;future garage;substep"
"2047","Bedroom","2XTCBvDwBxHSSa0qd5J18Q",38,"B-Side","B-Side","1KpqmBJgAuQIT39QH7CO2O","Leaving","79yyf56tBleseyHcHe3MIx",32,"B-Side",55,6105,"chillhop;jazz boom bap;lo-fi beats"
"2048","sleep well","0uLqZ8RMVB0THpnY6JIFsv",0,"stream_error","stream_error","3AHKvfq0OPpGwaZTh8ouuH","p a r a l y z e d [mini_tape]","5GdWiLC8HKs6ebeKKXzRvZ",32,"stream_error",55,7537,"lo-fi beats"
"2049","sunset cruise","7gPjBaQ0ezSHIAVlYTk9ad",47,"Slowheal","Slowheal","6XfzIkZ3Qel4Lvhba67CqC","sunset cruise","1MpNJDrh3JnUdl73f7p7w3",32,"Slowheal",53,3272,"lo-fi beats"
"2050","Waking Up to Sleep","2QAnWA18XUiajq1NxoTJuF",0,"Zeus the Elevated","Zeus the Elevated","6YGrdRsAjwUwyMc4WZcSSZ","Heaven's Gate","0oaLUlCUnePEzeMMsVMXWg",32,"Zeus the Elevated",41,1243,""
"2051","Orange Fluorescence","1LkFMtHN9hEIrZvQTCIsPK",40,"Smyang Piano","Smyang Piano","1hatwkL9sjz45yLimEcQOS","1x05","52K9tzkzzExqMgvez76aQ0",32,"Smyang Piano",65,225267,"piano cover"
"2052","Keep Warm","520cdEWRrkom8TpyI2FeFP",39,"Kavv","Kavv","2s9AUbN500rutTnXy78HzE","Keep Warm","15ki4Z5IWbuJ7uJsyzhV0J",32,"Kavv",56,8857,"chillhop;lo-fi beats"
"2053","Pico","2FbsTN9G2FaPR3VathE4Hr",0,"Flughand","Flughand feat. Smuv","6x5HLaMcoxaULXpgN0NJbb","Pico","0KShUCdCUmicwnDk2WQBZY",32,"Flughand",61,25326,"chillhop;jazz boom bap;lo-fi beats"
"2054","Evenings","6F1tpMt4vwHFx5A8aWq5Q2",54,"Idealism","Idealism","6YJ4EgQzDfJnIHRbqIHAdD","Evenings","7w6tHVD15bp6OenpCYb2I9",32,"Idealism",70,130657,"chillhop;lo-fi beats"
"2055","Far Off","2wabzx9aG2YplzsTlGnmbz",33,"FloFilz","FloFilz","39ZQx0618UYVBgGTDOJ2ds","Transit","6OwYJoEWZUhTuYsTBr9SD6",32,"FloFilz",62,44771,"chillhop;jazz boom bap;lo-fi beats"
"2056","calm","6dYfTqwjAxH96ttGUbDZIc",49,"jhfly","jhfly","7D6kLgvRHr6DNDavc0LhvI","handwarmers","3Uel2oy32xy9eU42uy7BSl",32,"jhfly",60,17918,"chillhop;lo-fi beats"
"2057","FF4","4yHLejQxBnufgbFPALQkK3",40,"Flying Lotus","Flying Lotus","29XOeO6KIWxGthejQqn793","Flamagra","5WfDyog8yO7ZF8JdJxeZfl",32,"Flying Lotus",62,573612,"afrofuturism;alternative hip hop;chillwave;electronica;escape room;experimental hip hop;glitch;glitch hop;hip hop;intelligent dance music;jazztronica;psychedelic hip hop;wonky"
"2058","Solitude","4gEAYcaZPHpFFelzdt7pBX",0,"leaf beach","leaf beach","5fQYCNYjrT9c4ZssNrC0gh","ALWAYS PROPER - BUMPS & BRUISES 02","53idN2LQwBQvXuNsIehnzG",32,"leaf beach",52,8249,"chillhop;jazz boom bap;lo-fi beats"
